date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist,action,q_values
2024-11-01,45.0,35.172685,14.077259,2.56857,117.6344,-3.32,114.95,0.0,0.0,0.0,,
2024-11-04,61.0,49.491129,15.099974,2.314174,117.6802,1.13,118.61,0.2919658119658095,0.0583931623931619,0.2335726495726476,,
2024-11-05,62.0,50.614464,15.690993,2.274336,117.6832,1.95,118.96,0.5453069374436978,0.1557759174032691,0.3895310200404287,,
2024-11-06,65.0,56.664184,14.6332,2.232184,117.7496,3.61,121.0,0.90031429287572,0.3046835924977593,0.5956307003779606,,
2024-11-07,65.0,57.080512,13.650963,2.121583,117.8422,5.39,121.15,1.1801597788366962,0.4797788297655467,0.7003809490711495,,
2024-11-08,65.0,56.923472,12.738886,1.95304,117.9018,2.11,121.11,1.3827719427225134,0.6603774523569401,0.7223944903655732,,
2024-11-11,64.0,54.346997,11.885497,1.672794,117.9524,1.27,120.47,1.4747014506932032,0.8232422520241928,0.6514591986690105,,
2024-11-12,63.0,53.854794,11.124917,1.672794,118.05,-0.54,120.35,1.5203476298646166,0.9626633275922776,0.557684302272339,,
2024-11-13,65.0,57.704966,11.048407,1.712862,118.1982,0.26,121.47,1.628129136282496,1.095756489330321,0.5323726469521746,,
2024-11-14,63.0,53.778767,10.977361,1.71922,118.346,-0.45,120.56,1.6214265656836062,1.2008905046009783,0.4205360610826278,SELL,"[5.8997979164123535, 6.418464183807373, 8.189603805541992]"
2024-11-15,62.0,48.860929,11.596979,1.713991,118.4794,-0.96,119.31,1.497982368596908,1.2603088774001645,0.2376734911967437,SELL,"[5.124239444732666, 5.382436275482178, 6.554171085357666]"
2024-11-18,64.0,52.595638,12.172338,1.719372,118.5854,-0.03,120.31,1.4639678851973912,1.3010406789596098,0.1629272062377813,SELL,"[5.587948799133301, 6.001399517059326, 7.491453647613525]"
2024-11-19,53.0,46.457291,13.276982,1.700045,118.7416,-2.34,118.63,1.286617872446243,1.2981561176569365,-0.0115382452106935,BUY,"[4.187114238739014, 4.916126251220703, 4.816737651824951]"
2024-11-20,64.0,52.467076,13.690233,1.701515,118.9536,-0.2,120.32,1.2678209351347078,1.2920890811524908,-0.0242681460177829,SELL,"[5.485170841217041, 5.862659931182861, 7.135290622711182]"
2024-11-21,66.0,57.375492,12.820974,1.795529,119.1676,2.2,121.93,1.3670789365557567,1.307087052233144,0.0599918843226128,SELL,"[6.416267395019531, 7.294382572174072, 9.269865036010742]"
2024-11-22,65.0,56.82598,12.406171,1.868901,119.3804,1.23,121.79,1.4180978386770278,1.3292892095219209,0.0888086291551069,SELL,"[6.184774875640869, 7.15054178237915, 8.718793869018555]"
2024-11-25,62.0,50.107312,12.211078,1.865456,119.5256,1.13,119.97,1.296724068673143,1.3227761813521652,-0.0260521126790223,SELL,"[5.153896808624268, 5.770878791809082, 6.609376907348633]"
2024-11-26,51.0,43.956867,12.849944,1.828579,119.6014,-1.95,117.97,1.0273090173177053,1.2636827485452733,-0.236373731227568,BUY,"[3.954599142074585, 4.4854912757873535, 3.786383628845215]"
2024-11-27,51.0,43.074314,13.621313,1.761966,119.663,-3.5,117.66,0.7797922788789151,1.1669046546120017,-0.3871123757330865,BUY,"[3.9156482219696045, 4.569229602813721, 3.9790167808532715]"
2024-11-29,52.0,44.241052,14.54194,1.68233,119.7022,-3.14,117.96,0.6009140105422119,1.0537065257980438,-0.4527925152558318,BUY,"[4.0273518562316895, 4.598543167114258, 4.180373191833496]"
2024-12-02,53.0,43.885881,15.453557,1.358399,119.7538,-1.77,117.85,0.4451442674232311,0.9319940741230812,-0.4868498066998501,BUY,"[3.9482645988464355, 4.560871601104736, 4.224331378936768]"
